student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
1,GP,F,18,U,GT3,A,4,4,at_home,teacher
2,GP,F,17,U,GT3,T,1,1,at_home,other
3,GP,F,15,U,LE3,T,1,1,at_home,other
4,GP,F,15,U,GT3,T,4,2,health,services
5,GP,F,16,U,GT3,T,3,3,other,other
6,GP,M,16,U,LE3,T,4,3,services,other
7,GP,M,16,U,LE3,T,2,2,other,other
8,GP,F,17,U,GT3,A,4,4,other,teacher
9,GP,M,15,U,LE3,A,3,2,services,other
10,GP,M,15,U,GT3,T,3,4,other,other
11,GP,F,15,U,GT3,T,4,4,teacher,health
12,GP,F,15,U,GT3,T,2,1,services,other
13,GP,M,15,U,LE3,T,4,4,health,services
14,GP,M,15,U,GT3,T,4,3,teacher,other
15,GP,M,15,U,GT3,A,2,2,other,other
16,GP,F,16,U,GT3,T,4,4,health,other
17,GP,F,16,U,GT3,T,4,4,services,services
18,GP,F,16,U,GT3,T,3,3,other,other
19,GP,M,17,U,GT3,T,3,2,services,services
20,GP,M,16,U,LE3,T,4,3,health,other
21,GP,M,15,U,GT3,T,4,3,teacher,other
22,GP,M,15,U,GT3,T,4,4,health,health
23,GP,M,16,U,LE3,T,4,2,teacher,other
24,GP,M,16,U,LE3,T,2,2,other,other
25,GP,F,15,R,GT3,T,2,4,services,health
26,GP,F,16,U,GT3,T,2,2,services,services
27,GP,M,15,U,GT3,T,2,2,other,other
28,GP,M,15,U,GT3,T,4,2,health,services
29,GP,M,16,U,LE3,A,3,4,services,other
30,GP,M,16,U,GT3,T,4,4,teacher,teacher
31,GP,M,15,U,GT3,T,4,4,health,services
32,GP,M,15,U,GT3,T,4,4,services,services
33,GP,M,15,R,GT3,T,4,3,teacher,at_home
34,GP,M,15,U,LE3,T,3,3,other,other
35,GP,M,16,U,GT3,T,3,2,other,other
36,GP,F,15,U,GT3,T,2,3,other,other
37,GP,M,15,U,LE3,T,4,3,teacher,services
38,GP,M,16,R,GT3,A,4,4,other,teacher
39,GP,F,15,R,GT3,T,3,4,services,health
40,GP,F,15,R,GT3,T,2,2,at_home,other
41,GP,F,16,U,LE3,T,2,2,other,other
42,GP,M,15,U,LE3,T,4,4,teacher,other
43,GP,M,15,U,GT3,T,4,4,services,teacher
44,GP,M,15,U,GT3,T,2,2,services,services
45,GP,F,16,U,LE3,T,2,2,other,at_home
46,GP,F,15,U,LE3,A,4,3,other,other
47,GP,F,16,U,LE3,A,3,3,other,services
48,GP,M,16,U,GT3,T,4,3,health,services
49,GP,M,15,U,GT3,T,4,2,teacher,other
50,GP,F,15,U,GT3,T,4,4,services,teacher
51,GP,F,16,U,LE3,T,2,2,services,services
52,GP,F,15,U,LE3,T,4,2,health,other
53,GP,M,15,U,LE3,A,4,2,health,health
54,GP,F,15,U,GT3,T,4,4,services,services
55,GP,F,15,U,LE3,A,3,3,other,other
56,GP,F,16,U,GT3,A,2,1,other,other
57,GP,F,15,U,GT3,A,4,3,services,services
58,GP,M,15,U,GT3,T,4,4,teacher,health
59,GP,M,15,U,LE3,T,1,2,other,at_home
60,GP,F,16,U,GT3,T,4,2,services,other
61,GP,F,16,R,GT3,T,4,4,health,teacher
62,GP,F,16,U,GT3,T,1,1,services,services
63,GP,F,16,U,LE3,T,1,2,other,services
64,GP,F,16,U,GT3,T,4,3,teacher,health
65,GP,F,15,U,LE3,T,4,3,services,services
66,GP,F,16,U,LE3,T,4,3,teacher,services
67,GP,M,15,U,GT3,A,4,4,other,services
68,GP,F,16,U,GT3,T,3,1,services,other
69,GP,F,15,R,LE3,T,2,2,health,services
70,GP,F,15,R,LE3,T,3,1,other,other
71,GP,M,16,U,GT3,T,3,1,other,other
72,GP,M,15,U,GT3,T,4,2,other,other
73,GP,F,15,R,GT3,T,1,1,other,other
74,GP,M,16,U,GT3,T,3,1,other,other
75,GP,F,16,U,GT3,T,3,3,other,services
76,GP,M,15,U,GT3,T,4,3,teacher,other
77,GP,M,15,U,GT3,T,4,0,teacher,other
78,GP,F,16,U,GT3,T,2,2,other,other
79,GP,M,17,U,GT3,T,2,1,other,other
80,GP,F,16,U,GT3,T,3,4,at_home,other
81,GP,M,15,U,GT3,T,2,3,other,services
82,GP,M,15,U,GT3,T,2,3,other,other
83,GP,F,15,U,LE3,T,3,2,services,other
84,GP,M,15,U,LE3,T,2,2,services,services
85,GP,F,15,U,GT3,T,1,1,other,other
86,GP,F,15,U,GT3,T,4,4,services,services
87,GP,F,16,U,LE3,T,2,2,at_home,other
88,GP,F,15,U,GT3,T,4,2,other,other
89,GP,M,16,U,GT3,T,2,2,services,other
90,GP,M,16,U,LE3,A,4,4,teacher,health
91,GP,F,16,U,GT3,T,3,3,other,other
92,GP,F,15,U,GT3,T,4,3,services,other
93,GP,F,16,U,LE3,T,3,1,other,other
94,GP,F,16,U,GT3,T,4,2,teacher,services
95,GP,M,15,U,LE3,T,2,2,services,health
96,GP,F,15,R,GT3,T,1,1,at_home,other
97,GP,M,16,R,GT3,T,4,3,services,other
98,GP,F,16,U,GT3,T,2,1,other,other
99,GP,F,16,U,GT3,T,4,4,other,other
100,GP,F,16,U,GT3,T,4,3,other,at_home
101,GP,M,16,U,GT3,T,4,4,services,services
102,GP,M,16,U,GT3,T,4,4,services,teacher
103,GP,M,15,U,GT3,T,4,4,services,other
104,GP,F,15,U,GT3,T,3,2,services,other
105,GP,M,15,U,GT3,A,3,4,services,other
106,GP,F,15,U,GT3,A,3,3,other,health
107,GP,F,15,U,GT3,T,2,2,other,other
108,GP,M,16,U,GT3,T,3,3,services,other
109,GP,M,15,R,GT3,T,4,4,other,other
110,GP,F,16,U,LE3,T,4,4,health,health
111,GP,M,15,U,LE3,A,4,4,teacher,teacher
112,GP,F,16,R,GT3,T,3,3,services,other
113,GP,F,16,U,GT3,T,2,2,at_home,other
114,GP,M,15,U,LE3,T,4,2,teacher,other
115,GP,M,15,R,GT3,T,2,1,health,services
116,GP,M,16,U,GT3,T,4,4,teacher,teacher
117,GP,M,15,U,GT3,T,4,4,other,teacher
118,GP,M,16,U,GT3,T,3,3,other,services
119,GP,M,17,R,GT3,T,1,3,other,other
120,GP,M,15,U,GT3,T,3,4,other,other
121,GP,F,15,U,GT3,T,1,2,at_home,services
122,GP,M,15,U,GT3,T,2,2,services,services
123,GP,F,16,U,LE3,T,2,4,other,health
124,GP,M,16,U,GT3,T,4,4,health,other
125,GP,F,16,U,GT3,T,2,2,other,other
126,GP,M,15,U,GT3,T,3,4,services,services
127,GP,F,15,U,LE3,A,3,4,other,other
128,GP,F,19,U,GT3,T,0,1,at_home,other
129,GP,M,18,R,GT3,T,2,2,services,other
130,GP,M,16,R,GT3,T,4,4,teacher,teacher
131,GP,F,15,R,GT3,T,3,4,services,teacher
132,GP,F,15,U,GT3,T,1,1,at_home,other
133,GP,F,17,U,LE3,T,2,2,other,other
134,GP,F,16,U,GT3,A,3,4,services,other
135,GP,M,15,R,GT3,T,3,4,at_home,teacher
136,GP,F,15,U,GT3,T,4,4,services,at_home
137,GP,M,17,R,GT3,T,3,4,at_home,other
138,GP,F,16,U,GT3,A,3,3,other,other
139,GP,M,16,U,LE3,T,1,1,services,other
140,GP,F,15,U,GT3,T,4,4,teacher,teacher
141,GP,M,15,U,GT3,T,4,3,teacher,services
142,GP,M,16,U,LE3,T,2,2,services,services
143,GP,F,15,U,GT3,T,4,4,teacher,services
144,GP,F,16,U,LE3,T,1,1,at_home,at_home
145,GP,M,17,U,GT3,T,2,1,other,other
146,GP,F,15,U,GT3,T,1,1,other,services
147,GP,F,15,U,GT3,T,3,2,health,services
148,GP,F,15,U,GT3,T,1,2,at_home,other
149,GP,M,16,U,GT3,T,4,4,teacher,teacher
150,GP,M,15,U,LE3,A,2,1,services,other
151,GP,M,18,U,LE3,T,1,1,other,other
152,GP,M,16,U,LE3,T,2,1,at_home,other
153,GP,F,15,R,GT3,T,3,3,services,services
154,GP,M,19,U,GT3,T,3,2,services,at_home
155,GP,F,17,U,GT3,T,4,4,other,teacher
156,GP,M,15,R,GT3,T,2,3,at_home,services
157,GP,M,17,R,LE3,T,1,2,other,other
158,GP,F,18,R,GT3,T,1,1,at_home,other
159,GP,M,16,R,GT3,T,2,2,at_home,other
160,GP,M,16,U,GT3,T,3,3,other,services
161,GP,M,17,R,LE3,T,2,1,at_home,other
162,GP,M,15,R,GT3,T,3,2,other,other
163,GP,M,16,U,LE3,T,1,2,other,other
164,GP,M,17,U,GT3,T,1,3,at_home,services
165,GP,M,17,R,LE3,T,1,1,other,services
166,GP,M,16,U,GT3,T,3,2,services,services
167,GP,M,16,U,GT3,T,2,2,other,other
168,GP,F,16,U,GT3,T,4,2,health,services
169,GP,F,16,U,GT3,T,2,2,other,other
170,GP,F,16,U,GT3,T,4,4,health,health
171,GP,M,16,U,GT3,T,3,4,other,other
172,GP,M,16,U,GT3,T,1,0,other,other
173,GP,M,17,U,LE3,T,4,4,teacher,other
174,GP,F,16,U,GT3,T,1,3,at_home,services
175,GP,F,16,U,LE3,T,3,3,other,other
176,GP,M,17,U,LE3,T,4,3,teacher,other
177,GP,F,16,U,GT3,T,2,2,services,other
178,GP,M,17,U,GT3,T,3,3,other,other
179,GP,M,16,R,GT3,T,4,2,teacher,services
180,GP,M,17,U,GT3,T,4,3,other,other
181,GP,M,16,U,GT3,T,4,3,teacher,other
182,GP,M,16,U,GT3,T,3,3,services,other
183,GP,F,17,U,GT3,T,2,4,services,services
184,GP,F,17,U,LE3,T,3,3,other,other
185,GP,F,16,U,GT3,T,3,2,other,other
186,GP,M,17,U,GT3,T,3,3,services,services
187,GP,M,16,U,GT3,T,1,2,services,services
188,GP,M,16,U,LE3,T,2,1,other,other
189,GP,F,17,U,GT3,A,3,3,health,other
190,GP,M,17,R,GT3,T,1,2,at_home,other
191,GP,F,16,U,GT3,T,2,3,services,services
192,GP,F,17,U,GT3,T,1,1,at_home,services
193,GP,M,17,U,GT3,T,1,2,at_home,services
194,GP,M,16,R,GT3,T,3,3,services,services
195,GP,M,16,U,GT3,T,2,3,other,other
196,GP,F,17,U,LE3,T,2,4,services,services
197,GP,M,17,U,GT3,T,4,4,services,teacher
198,GP,M,16,R,LE3,T,3,3,teacher,other
199,GP,F,17,U,GT3,T,4,4,services,teacher
200,GP,F,16,U,LE3,T,4,4,teacher,teacher
201,GP,F,16,U,GT3,T,4,3,health,other
202,GP,F,16,U,GT3,T,2,3,other,other
203,GP,F,17,U,GT3,T,1,1,other,other
204,GP,F,17,R,GT3,T,2,2,other,other
205,GP,F,16,R,GT3,T,2,2,services,services
206,GP,F,17,U,GT3,T,3,4,at_home,services
207,GP,F,16,U,GT3,A,3,1,services,other
208,GP,F,16,U,GT3,T,4,3,teacher,other
209,GP,F,16,U,GT3,T,1,1,at_home,other
210,GP,F,17,R,GT3,T,4,3,teacher,other
211,GP,F,19,U,GT3,T,3,3,other,other
212,GP,M,17,U,LE3,T,4,4,services,other
213,GP,F,16,U,GT3,A,2,2,other,other
214,GP,M,18,U,GT3,T,2,2,services,other
215,GP,F,17,R,LE3,T,4,4,services,other
216,GP,F,17,U,LE3,T,3,2,other,other
217,GP,F,17,U,GT3,T,4,3,other,other
218,GP,M,18,U,LE3,T,3,3,services,health
219,GP,F,17,U,GT3,T,2,3,at_home,other
220,GP,F,17,U,GT3,T,2,2,at_home,at_home
221,GP,F,17,R,GT3,T,2,1,at_home,services
222,GP,F,17,U,GT3,T,1,1,at_home,other
223,GP,F,16,U,GT3,T,2,3,services,teacher
224,GP,M,18,U,GT3,T,2,2,other,other
225,GP,F,16,U,GT3,T,4,4,teacher,services
226,GP,F,18,R,GT3,T,3,1,other,other
227,GP,F,17,U,GT3,T,3,2,other,other
228,GP,M,17,U,LE3,T,2,3,services,services
229,GP,M,18,U,LE3,T,2,1,at_home,other
230,GP,F,17,U,GT3,A,2,1,other,other
231,GP,F,17,U,LE3,T,4,3,health,other
232,GP,M,17,R,GT3,T,2,2,other,other
233,GP,M,17,U,GT3,T,4,4,teacher,teacher
234,GP,M,16,U,GT3,T,4,4,health,other
235,GP,M,16,U,LE3,T,1,1,other,other
236,GP,M,16,U,GT3,T,3,2,at_home,other
237,GP,M,17,U,LE3,T,2,2,other,other
238,GP,F,16,U,GT3,T,2,1,other,other
239,GP,F,17,R,GT3,T,2,1,at_home,services
240,GP,M,18,U,GT3,T,2,2,other,services
241,GP,M,17,U,LE3,T,4,3,health,other
242,GP,M,17,R,LE3,A,4,4,teacher,other
243,GP,M,16,U,LE3,T,4,3,teacher,other
244,GP,M,16,U,GT3,T,4,4,services,services
245,GP,F,18,U,GT3,T,2,1,other,other
246,GP,M,16,U,GT3,T,2,1,other,other
247,GP,M,17,U,GT3,T,2,3,other,other
248,GP,M,22,U,GT3,T,3,1,services,services
249,GP,M,18,R,LE3,T,3,3,other,services
250,GP,M,16,U,GT3,T,0,2,other,other
251,GP,M,18,U,GT3,T,3,2,services,other
252,GP,M,16,U,GT3,T,3,3,at_home,other
253,GP,M,18,U,GT3,T,2,1,services,services
254,GP,M,16,R,GT3,T,2,1,other,other
255,GP,M,17,R,GT3,T,2,1,other,other
256,GP,M,17,U,LE3,T,1,1,health,other
257,GP,F,17,U,LE3,T,4,2,teacher,services
258,GP,M,19,U,LE3,A,4,3,services,at_home
259,GP,M,18,U,GT3,T,2,1,other,other
260,GP,F,17,U,LE3,T,2,2,services,services
261,GP,F,18,U,GT3,T,4,3,services,other
262,GP,M,18,U,GT3,T,4,3,teacher,other
263,GP,M,18,R,GT3,T,3,2,other,other
264,GP,F,17,U,GT3,T,3,3,other,other
265,GP,F,18,U,GT3,T,2,2,at_home,services
266,GP,M,18,R,LE3,A,3,4,other,other
267,GP,M,17,U,GT3,T,3,1,services,other
268,GP,F,18,R,GT3,T,4,4,teacher,other
269,GP,M,18,U,GT3,T,4,2,health,other
270,GP,F,18,R,GT3,T,2,1,other,other
271,GP,F,19,U,GT3,T,3,3,other,services
272,GP,F,18,U,GT3,T,2,3,other,services
273,GP,F,18,U,LE3,T,1,1,other,other
274,GP,M,17,R,GT3,T,1,2,at_home,at_home
275,GP,F,17,U,GT3,T,2,4,at_home,health
276,GP,F,17,U,LE3,T,2,2,services,other
277,GP,F,18,R,GT3,A,3,2,other,services
278,GP,M,18,U,GT3,T,4,4,teacher,services
279,GP,F,18,U,GT3,T,4,4,health,health
280,GP,M,18,U,LE3,T,4,3,teacher,services
281,GP,M,17,U,LE3,A,4,1,services,other
282,GP,M,17,U,LE3,A,3,2,teacher,services
283,GP,F,18,R,LE3,T,1,1,at_home,other
284,GP,F,18,U,GT3,T,1,1,other,other
285,GP,F,17,U,GT3,T,2,2,other,other
286,GP,M,17,U,GT3,T,1,1,other,other
287,GP,F,18,U,GT3,T,2,2,at_home,at_home
288,GP,F,17,U,GT3,T,1,1,services,teacher
289,GP,M,18,U,GT3,T,2,1,services,services
290,GP,M,18,U,LE3,A,4,4,teacher,teacher
291,GP,M,18,U,GT3,T,4,2,teacher,other
292,GP,F,17,U,GT3,T,4,3,health,services
293,GP,F,18,U,LE3,T,2,1,services,at_home
294,GP,F,17,R,LE3,T,3,1,services,other
295,GP,M,18,R,LE3,T,3,2,services,other
296,GP,M,17,U,GT3,T,3,3,health,other
297,GP,F,19,U,GT3,T,4,4,health,other
298,GP,F,18,U,LE3,T,4,3,other,other
299,GP,F,18,U,GT3,T,4,3,other,other
300,GP,M,18,U,LE3,T,4,4,teacher,teacher
301,GP,F,18,U,LE3,A,4,4,health,other
302,GP,M,17,U,LE3,T,4,4,other,teacher
303,GP,F,17,U,GT3,T,4,2,other,other
304,GP,F,17,U,GT3,T,3,2,health,health
305,GP,M,19,U,GT3,T,3,3,other,other
306,GP,F,18,U,GT3,T,2,4,services,at_home
307,GP,M,20,U,GT3,A,3,2,services,other
308,GP,M,19,U,GT3,T,4,4,teacher,services
309,GP,M,19,R,GT3,T,3,3,other,services
310,GP,F,19,U,LE3,T,1,1,at_home,other
311,GP,F,19,U,LE3,T,1,2,services,services
312,GP,F,19,U,GT3,T,2,1,at_home,other
313,GP,M,19,U,GT3,T,1,2,other,services
314,GP,F,19,U,LE3,T,3,2,services,other
315,GP,F,19,U,GT3,T,1,1,at_home,health
316,GP,F,19,R,GT3,T,2,3,other,other
317,GP,F,18,U,GT3,T,2,1,services,other
318,GP,F,18,U,GT3,T,4,3,other,other
319,GP,F,17,R,GT3,T,3,4,at_home,services
320,GP,F,18,U,GT3,T,4,4,teacher,other
321,GP,F,17,U,GT3,A,4,3,services,services
322,GP,F,17,U,GT3,T,2,2,other,other
323,GP,F,17,R,LE3,T,2,2,services,services
324,GP,F,17,U,GT3,T,3,1,services,services
325,GP,F,17,U,LE3,T,0,2,at_home,at_home
326,GP,M,18,U,GT3,T,4,4,other,other
327,GP,M,17,U,GT3,T,3,3,other,services
328,GP,M,17,R,GT3,T,2,2,services,other
329,GP,F,17,U,GT3,T,4,4,teacher,services
330,GP,F,17,U,GT3,T,4,4,teacher,teacher
331,GP,M,18,U,LE3,T,2,2,other,other
332,GP,F,17,R,GT3,T,2,4,at_home,other
333,GP,F,18,U,GT3,T,3,3,services,services
334,GP,F,18,U,LE3,T,2,2,other,other
335,GP,F,18,R,GT3,T,2,2,at_home,other
336,GP,F,17,U,GT3,T,3,4,services,other
337,GP,F,19,R,GT3,A,3,1,services,at_home
338,GP,F,17,U,GT3,T,3,2,other,other
339,GP,F,18,U,LE3,T,3,3,services,services
340,GP,F,17,R,GT3,A,3,2,other,other
341,GP,F,19,U,GT3,T,2,1,services,services
342,GP,M,18,U,GT3,T,4,4,teacher,services
343,GP,M,18,U,LE3,T,3,4,services,other
344,GP,F,17,U,GT3,A,2,2,at_home,at_home
345,GP,F,18,U,GT3,T,2,3,at_home,other
346,GP,F,18,U,GT3,T,3,2,other,services
347,GP,M,18,R,GT3,T,4,3,teacher,services
348,GP,M,18,U,GT3,T,4,3,teacher,other
349,GP,F,17,U,GT3,T,4,3,health,other
350,MS,M,18,R,GT3,T,3,2,other,other
351,MS,M,19,R,GT3,T,1,1,other,services
352,MS,M,17,U,GT3,T,3,3,health,other
353,MS,M,18,U,LE3,T,1,3,at_home,services
354,MS,M,19,R,GT3,T,1,1,other,other
355,MS,M,17,R,GT3,T,4,3,services,other
356,MS,F,18,U,GT3,T,3,3,services,services
357,MS,F,17,R,GT3,T,4,4,teacher,services
358,MS,F,17,U,LE3,A,3,2,services,other
359,MS,M,18,U,LE3,T,1,1,other,services
360,MS,F,18,U,LE3,T,1,1,at_home,services
361,MS,F,18,R,LE3,A,1,4,at_home,other
362,MS,M,18,R,LE3,T,1,1,at_home,other
363,MS,F,18,U,GT3,T,3,3,services,services
364,MS,F,17,U,LE3,T,4,4,at_home,at_home
365,MS,F,17,R,GT3,T,1,2,other,services
366,MS,M,18,R,GT3,T,1,3,at_home,other
367,MS,M,18,U,LE3,T,4,4,teacher,services
368,MS,F,17,R,GT3,T,1,1,other,services
369,MS,F,18,U,GT3,T,2,3,at_home,services
370,MS,F,18,R,GT3,T,4,4,other,teacher
371,MS,F,19,U,LE3,T,3,2,services,services
372,MS,M,18,R,LE3,T,1,2,at_home,services
373,MS,F,17,U,GT3,T,2,2,other,at_home
374,MS,F,17,R,GT3,T,1,2,other,other
375,MS,F,18,R,LE3,T,4,4,other,other
376,MS,F,18,R,GT3,T,1,1,other,other
377,MS,F,20,U,GT3,T,4,2,health,other
378,MS,F,18,R,LE3,T,4,4,teacher,services
379,MS,F,18,U,GT3,T,3,3,other,other
380,MS,F,17,R,GT3,T,3,1,at_home,other
381,MS,M,18,U,GT3,T,4,4,teacher,teacher
382,MS,M,18,R,GT3,T,2,1,other,other
383,MS,M,17,U,GT3,T,2,3,other,services
384,MS,M,19,R,GT3,T,1,1,other,services
385,MS,M,18,R,GT3,T,4,2,other,other
386,MS,F,18,R,GT3,T,2,2,at_home,other
387,MS,F,18,R,GT3,T,4,4,teacher,at_home
388,MS,F,19,R,GT3,T,2,3,services,other
389,MS,F,18,U,LE3,T,3,1,teacher,services
390,MS,F,18,U,GT3,T,1,1,other,other
391,MS,M,20,U,LE3,A,2,2,services,services
392,MS,M,17,U,LE3,T,3,1,services,services
393,MS,M,21,R,GT3,T,1,1,other,other
394,MS,M,18,R,LE3,T,3,2,services,other
395,MS,M,19,U,LE3,T,1,1,other,at_home
